PersonID,SeekHealthInfo,WhereSeekHealthInfo,WhoLookingFor,LotOfEffort,Frustrated,ConcernedQuality,TooHardUnderstand,ConfidentGetHealthInf,TrustDoctor,TrustFamily,TrustNewsMag,TrustRadio,TrustInternet,TrustTelevision,TrustGov,TrustCharities,TrustReligiousOrgs,StrongNeedHealthInfo,StrongNeedHealthInfo_OS,SeekCancerInfo,InternetCancerInfoSelf
60000001-02,1,7,1,4,4,4,4,2,2,2,3,3,1,3,2,3,3,7,-1,1,2
60000006-02,1,7,2,3,3,3,4,3,2,3,2,2,2,3,2,2,4,7,-1,1,1
60000011-01,1,1,1,3,2,2,3,3,1,3,3,3,-9,3,2,2,3,6,-1,2,2
60000014-01,1,7,2,4,4,4,4,1,1,2,2,2,1,2,1,3,3,7,-1,1,1
60000017-01,1,7,1,2,2,2,3,3,1,2,2,2,2,4,3,3,3,6,-1,1,2
60000019-01,1,7,2,3,3,3,4,2,1,2,2,-9,1,2,2,-9,-9,7,-1,1,2
60000020-01,1,-5,3,3,3,2,2,3,1,3,3,3,2,3,2,3,4,6,-1,1,2
60000022-01,1,7,1,4,4,4,4,1,1,3,2,4,1,2,1,1,4,6,-1,1,1
60000025-02,1,7,2,3,3,3,3,3,1,3,2,4,1,4,1,1,1,7,-1,1,1
60000026-01,1,7,2,3,3,4,4,2,2,3,3,3,2,3,2,2,2,7,-1,1,2
60000031-01,1,7,1,2,2,2,3,2,1,2,3,2,2,3,2,2,4,7,-1,1,1
60000033-02,1,1,3,3,2,3,4,3,1,3,3,3,2,3,4,3,2,7,-1,1,1
60000035-01,2,-1,-1,-1,-1,-1,-1,3,1,3,4,4,4,4,4,4,4,6,-1,2,2
60000037-01,1,7,1,3,3,2,3,2,1,3,2,3,2,3,2,2,2,7,-1,2,2
60000039-01,1,7,2,3,2,3,4,2,4,4,4,3,3,4,3,4,4,7,-1,1,2
60000046-01,1,7,3,2,2,1,4,3,1,3,3,4,2,3,2,4,4,6,-1,1,2
60000053-01,2,-1,-1,-1,-1,-1,-1,4,2,4,4,4,4,4,4,4,4,6,-1,2,2
60000054-01,2,-1,-1,-1,-1,-1,-1,1,1,2,3,3,3,3,2,2,2,7,-1,2,2
60000055-02,1,7,2,4,4,4,4,2,1,2,2,2,2,2,2,2,2,6,-1,2,2
60000060-01,1,7,1,3,4,1,3,2,2,3,4,4,1,2,1,1,4,7,-1,2,2
60000063-01,1,6,2,2,2,1,3,2,1,2,3,3,3,3,2,3,4,6,-1,1,2
60000072-01,-9,-6,-6,-6,-6,-6,-6,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,6,-1,2,2
60000073-01,1,7,1,2,2,2,2,3,1,3,3,4,3,3,3,2,3,6,-1,1,1
60000074-01,1,7,3,2,3,2,3,3,1,3,3,3,2,3,3,4,4,7,-1,1,1
60000081-02,2,-1,-1,-1,-1,-1,-1,1,2,3,2,3,2,4,2,3,3,6,-1,1,2
60000085-01,2,-1,-1,-1,-1,-1,-1,3,1,2,4,4,4,4,3,4,3,6,-1,2,2
60000087-01,1,6,1,2,2,2,2,2,1,2,3,3,3,3,3,3,3,6,-1,1,2
60000088-01,1,9,1,1,2,2,3,1,1,2,1,2,1,1,1,1,2,6,-1,1,2
60000096-02,1,7,3,2,2,2,1,1,1,2,4,4,3,4,2,2,2,6,-1,2,2
60000097-01,1,7,2,4,4,4,1,1,2,4,2,2,1,2,1,2,4,7,-1,1,2
60000098-01,2,-1,-1,-1,-1,-1,-1,3,1,-9,-9,3,3,2,2,2,3,-5,-1,2,2
60000099-03,2,-1,-1,-1,-1,-1,-1,2,2,2,2,2,2,2,2,2,2,7,-1,2,2
60000100-01,2,-1,-1,-2,-2,-2,-2,3,2,2,3,4,4,2,2,3,3,6,-1,2,2
60000104-01,1,7,3,4,4,2,3,1,1,2,2,2,2,3,2,2,4,6,-1,1,1
60000106-01,1,7,2,3,4,3,3,2,1,2,2,3,2,3,2,2,3,6,-1,1,2
60000110-01,1,7,2,3,2,1,2,3,1,2,2,3,3,3,1,2,3,7,-1,1,1
60000111-02,1,7,1,4,4,3,4,1,1,2,2,2,2,2,2,2,4,7,-1,1,1
60000114-01,1,7,1,3,3,3,3,2,2,3,2,3,2,3,2,3,4,6,-1,1,2
60000120-02,2,-1,-1,-1,-1,-1,-1,2,1,2,2,4,3,2,1,4,3,6,-1,2,2
60000121-01,1,6,1,1,2,2,2,3,1,2,3,2,4,2,2,3,2,6,-1,2,2
60000122-02,1,5,1,2,2,3,2,4,1,2,3,4,2,3,3,2,2,6,-1,1,2
60000125-01,1,7,2,1,1,1,3,2,1,2,3,3,3,3,2,3,4,7,-1,1,2
60000126-01,1,-5,2,4,4,4,4,2,1,1,2,3,1,2,1,1,2,7,-1,2,2
60000130-02,1,7,1,3,3,1,2,2,1,3,2,2,2,2,2,4,4,6,-1,1,2
60000133-01,1,7,3,3,4,3,4,2,1,2,2,4,2,3,1,2,4,6,-1,1,2
60000135-03,1,6,1,4,4,3,3,1,1,2,2,4,2,2,3,3,3,7,-1,1,1
60000141-03,2,-1,-1,-1,-1,-1,-1,2,1,2,2,2,2,2,2,2,2,4,-1,2,2
60000142-01,1,-5,1,4,4,3,4,1,1,2,3,3,2,3,4,4,4,6,-1,1,1
60000145-01,1,7,1,2,2,1,2,3,2,1,2,3,2,3,1,4,2,6,-1,1,1
60000147-01,1,7,1,4,4,3,4,2,1,3,3,4,3,3,1,2,4,6,-1,1,2
60000150-01,1,6,1,2,2,3,3,4,2,3,4,4,4,4,3,4,4,6,-1,1,2
60000153-02,1,-5,1,1,1,1,1,3,1,3,2,2,2,2,2,3,2,-5,-1,1,2
60000157-01,1,6,1,4,4,4,4,1,1,2,2,2,2,2,2,2,4,6,-1,1,2
60000159-02,1,7,1,3,4,2,4,1,1,3,2,4,2,4,1,2,4,7,-1,2,2
60000161-01,1,7,1,3,3,3,3,1,1,2,3,3,2,3,3,2,4,7,-1,2,2
60000163-03,-9,-6,-6,-6,-6,-6,-6,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,6,-1,2,2
60000164-02,1,7,1,3,3,3,4,2,1,2,3,3,2,3,1,2,2,7,-1,2,2
60000169-02,1,7,3,3,2,2,3,3,1,2,2,2,2,3,2,2,2,7,-1,1,1
60000173-01,1,6,1,3,2,4,4,1,1,2,4,4,2,4,2,4,4,7,-1,1,2
60000190-01,1,7,2,3,2,3,3,2,1,2,3,3,2,2,3,3,3,7,-1,1,1
60000193-01,1,-5,3,2,-9,-9,-9,3,2,-9,-9,-9,2,-9,-9,-9,-9,6,-1,2,1
60000196-03,1,6,1,3,4,4,3,2,1,2,2,2,2,2,2,3,3,6,-1,2,2
60000198-02,2,-1,-1,-2,-2,-2,-2,3,2,2,3,2,2,3,3,2,2,1,-1,1,2
60000201-01,1,2,1,3,3,3,4,3,1,3,3,3,3,3,3,3,3,6,-1,1,2
60000207-01,2,-1,-1,-1,-1,-1,-1,3,1,1,2,2,2,4,1,2,1,7,-1,1,2
