PersonID,Caregiving_Child,Caregiving_Spouse,Caregiving_Parent,Caregiving_Family,Caregiving_Friend,Caregiving_No,CaregivingWho_Cat,Caregiving_Cancer,Caregiving_Alzheimers,Caregiving_OrthoMusc,Caregiving_MentalHealth,Caregiving_ChronicCond,Caregiving_NeuroDev,Caregiving_AcuteCond,Caregiving_Aging,Caregiving_NotSure,Caregiving_Other,Caregiving_Other_OS,CaregivingCond_Cat,Caregiving_HoursPerWeek
60000001-02,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60000006-02,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60000011-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60000014-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60000017-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60000019-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60000020-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60000022-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60000025-02,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,-1,3,1
60000026-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60000031-01,2,2,1,2,2,2,3,1,2,2,2,2,2,1,1,2,2,-1,10,1
60000033-02,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,-1,10,5
60000035-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60000037-01,2,2,1,2,2,2,3,2,2,1,2,1,1,2,2,2,2,-1,10,1
60000039-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60000046-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60000053-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60000054-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60000055-02,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60000060-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60000063-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60000072-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60000073-01,2,2,1,2,2,2,3,2,1,1,2,1,1,2,1,2,2,-1,10,2
60000074-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60000081-02,1,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,-1,10,4
60000085-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60000087-01,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,-1,6,4
60000088-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60000096-02,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,-1,-2,-1
60000097-01,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,-1,4,1
60000098-01,2,2,2,2,2,1,6,-1,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2
60000099-03,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60000100-01,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,-1,6,4
60000104-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60000106-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60000110-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60000111-02,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60000114-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60000120-02,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60000121-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60000122-02,2,2,2,2,2,1,6,-2,-2,-2,-1,-1,-1,-2,-2,-1,-1,-1,-2,-2
60000125-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60000126-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60000130-02,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60000133-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60000135-03,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60000141-03,1,1,1,1,1,2,7,2,2,1,1,1,2,2,2,2,2,-1,10,1
60000142-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60000145-01,1,1,2,2,2,2,7,2,2,2,2,2,2,2,2,2,1,WELL VISITS,91,1
60000147-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60000150-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60000153-02,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60000157-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60000159-02,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,PEDIATRIC WELLNESS,10,1
60000161-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60000163-03,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60000164-02,-9,-9,-9,-9,-9,-9,-9,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
60000169-02,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60000173-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60000190-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60000193-01,-9,-9,-9,-9,-9,-9,-9,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
60000196-03,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60000198-02,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60000201-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60000207-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60000208-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60000212-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60000215-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60000217-01,2,2,2,1,2,2,4,2,1,2,2,2,2,2,2,2,2,-1,2,2
60000218-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60000219-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60000221-03,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60000222-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60000224-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60000227-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60000231-02,2,2,1,2,2,2,3,1,2,2,2,1,2,2,1,2,2,-1,10,5
60000232-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60000235-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60000237-01,2,2,1,2,2,2,3,2,1,2,2,2,2,2,2,2,2,-1,2,1
60000238-01,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60000241-02,2,2,2,2,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
