PersonID,UseMenuCalorieInfo,Fruit,Vegetables,AlcoholConditions_Cancer,AlcoholConditions_HeartDisease,AlcoholConditions_Diabetes,AlcoholConditions_Cholesterol,AlcoholConditions_LiverDisease,AlcoholConditions_Overweight,AlcoholIncreaseCancer,AlcoholReduceHeart
60000001-02,2,2,3,1,-9,-9,-9,1,-9,2,3
60000006-02,4,5,3,1,1,1,1,1,1,1,2
60000011-01,4,4,4,1,3,3,3,1,1,1,2
60000014-01,4,4,4,1,1,1,1,1,1,2,4
60000017-01,5,3,3,2,1,2,2,2,1,3,4
60000019-01,5,3,3,1,1,1,2,1,1,1,1
60000020-01,4,1,2,3,3,-9,3,1,1,3,3
60000022-01,3,0,1,1,1,-9,1,1,1,2,3
60000025-02,4,1,3,1,1,1,1,1,1,2,3
60000026-01,2,2,4,3,1,1,1,1,1,-5,2
60000031-01,1,4,4,2,2,2,2,1,2,3,1
60000033-02,-9,3,3,2,1,1,3,1,1,2,2
60000035-01,5,2,1,2,1,1,2,1,2,3,4
60000037-01,2,3,4,3,1,1,1,1,1,2,2
60000039-01,1,1,2,1,3,1,3,1,3,2,2
60000046-01,5,3,3,3,1,1,3,1,3,3,2
60000053-01,4,2,2,3,1,3,3,1,1,3,2
60000054-01,2,3,4,2,1,1,1,1,1,3,3
60000055-02,3,4,4,2,1,1,1,1,1,2,2
60000060-01,5,1,4,3,3,3,3,1,1,3,1
60000063-01,2,2,3,1,1,1,3,1,1,1,3
60000072-01,5,0,2,3,1,1,3,1,1,3,4
60000073-01,3,2,2,1,1,2,2,1,1,1,2
60000074-01,5,1,1,2,1,2,2,1,2,3,2
60000081-02,5,0,1,3,1,3,3,1,3,4,3
60000085-01,5,0,0,3,3,1,3,1,3,1,4
60000087-01,2,2,3,3,3,3,3,3,3,3,3
60000088-01,4,3,2,3,1,1,3,1,1,3,3
60000096-02,4,0,0,1,1,2,2,1,1,2,4
60000097-01,4,3,3,2,2,2,2,1,1,4,2
60000098-01,3,1,2,2,2,2,2,2,2,3,3
60000099-03,5,1,2,1,1,1,1,1,1,3,2
60000100-01,3,2,2,3,-9,1,1,1,3,2,2
60000104-01,2,3,4,3,1,1,1,1,1,2,2
60000106-01,2,2,2,-9,-9,-9,-9,1,-9,2,4
