PersonID,ChanceGetCancer,EverythingCauseCancer,PreventNotPossible,TooManyRecommendations,CancerMoreCommon,CancerFatal,RatherNotKnowChance,FreqWorryCancer,FamilyEverHadCancer
60000001-02,5,2,3,3,3,3,4,3,1
60000006-02,4,3,3,4,4,2,1,3,-9
60000011-01,4,3,3,2,3,2,4,3,2
60000014-01,5,2,2,2,2,2,4,4,1
60000017-01,3,2,3,2,2,2,2,2,1
60000019-01,3,4,4,2,3,3,4,2,1
60000020-01,3,3,4,3,-9,3,3,4,2
60000022-01,3,4,4,4,4,1,2,3,1
60000025-02,4,3,3,3,3,2,4,4,1
60000026-01,3,2,3,2,2,2,3,2,1
60000031-01,4,3,3,3,4,3,4,2,1
60000033-02,3,2,3,2,3,2,2,3,1
60000035-01,4,2,4,3,-9,4,2,3,1
60000037-01,2,3,2,2,3,2,2,2,1
60000039-01,3,3,3,2,2,4,4,1,1
60000046-01,3,2,4,3,1,4,3,2,1
60000053-01,4,3,2,3,4,3,2,3,1
60000054-01,2,4,3,3,4,1,4,3,1
60000055-02,3,2,3,2,3,2,2,2,2
60000060-01,3,2,4,2,2,2,3,3,1
60000063-01,4,2,4,3,2,3,4,4,1
60000072-01,3,3,3,3,4,1,1,1,1
60000073-01,5,1,3,2,2,2,3,4,1
60000074-01,3,2,2,2,3,3,2,2,1
60000081-02,3,1,2,1,2,1,3,5,1
60000085-01,3,2,3,1,2,3,4,1,1
60000087-01,4,1,3,1,2,3,3,4,1
60000088-01,3,3,3,2,3,4,4,2,1
60000096-02,3,2,3,1,2,1,2,2,2
60000097-01,4,4,4,1,4,4,3,2,1
60000098-01,3,2,2,1,1,3,2,2,2
60000099-03,3,1,4,2,3,4,3,2,2
60000100-01,2,3,3,2,3,3,3,4,2
60000104-01,2,2,4,2,4,1,3,2,1
60000106-01,2,3,4,2,3,4,3,2,1
60000110-01,4,4,2,2,3,4,4,3,2
60000111-02,5,2,4,2,4,2,4,4,2
60000114-01,4,3,4,2,3,3,4,1,1
60000120-02,3,2,3,2,2,1,2,4,1
60000121-01,3,4,2,2,2,3,4,2,4
60000122-02,4,2,4,2,3,4,4,1,1
60000125-01,3,2,4,3,2,2,3,3,2
60000126-01,4,1,3,2,2,3,3,2,2
60000130-02,5,3,4,2,3,2,4,2,1
60000133-01,4,2,3,2,2,3,4,1,1
60000135-03,2,2,3,2,2,3,4,2,1
60000141-03,2,2,2,2,2,2,2,3,2
60000142-01,5,2,2,2,2,2,3,5,1
60000145-01,3,2,4,2,4,1,4,5,1
60000147-01,3,3,3,3,3,2,3,2,1
60000150-01,3,3,4,1,2,3,3,2,1
60000153-02,4,1,1,1,1,1,1,3,1
60000157-01,3,2,4,2,2,3,2,4,2
60000159-02,3,1,3,1,3,3,4,1,1
60000161-01,3,2,3,3,3,2,4,4,1
60000163-03,3,3,3,3,4,3,2,3,-9
60000164-02,3,2,2,2,2,2,2,3,1
