PersonID,Age,OccupationStatus,OccupationStatus_OS,Employed,Unemployed,Homemaker,Student,Retired,Disabled,OtherOcc,MultiOcc,ActiveDutyArmedForces,ReceivedCareVA,MaritalStatus,Education,BornInUSA,YearCameToUSA,SpeakEnglish,NotHisp,Mexican,PuertoRican,Cuban,OthHisp,Hisp_Cat,White,Black,AmerInd,AsInd,Chinese,Filipino,Japanese,Korean,Vietnamese,OthAsian,Hawaiian,Guamanian,Samoan,OthPacIsl,Race_Cat2,SexualOrientation,SexualOrientation_OS,TotalHousehold,R_HHAdults,HHAdults_Num,SelfGender,SelfAge,SelfMOB,HHAdultGender2,HHAdultAge2,HHAdultMOB2,HHAdultGender3,HHAdultAge3,HHAdultMOB3,HHAdultGender4,HHAdultAge4,HHAdultMOB4,HHAdultGender5,HHAdultAge5,HHAdultMOB5,ChildrenInHH,RentOrOwn,CellPhone,PhoneInHome,IncomeRanges,MailSurveyTime_Min,MailSurveyTime_Hrs,TypeOfAddressA,TypeOfAddressB,TypeOfAddressC,TypeOfAddressD
60000001-02,49,3,-1,2,2,1,2,2,2,2,1,5,-1,1,3,1,-1,1,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,6,4,4,2,49,4,1,51,7,2,22,6,1,18,11,-1,-1,-1,2,1,1,1,7,30,-1,1,2,2,2
60000006-02,-9,-9,-6,-9,-9,-9,-9,-9,-9,-9,0,-9,-6,-9,-9,-9,-6,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-6,-9,2,2,-9,-9,-9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-9,-9,-9,-9,4,45,-1,1,2,2,2
60000011-01,72,5,-1,2,2,2,2,1,2,2,1,3,1,5,3,1,-1,2,-9,-9,-9,-9,-9,-9,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,1,1,1,1,72,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-9,1,1,2,4,40,-1,1,2,2,2
60000014-01,38,6,-1,2,2,2,2,2,1,2,1,5,-1,3,5,1,-1,1,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,3,-1,5,3,3,2,38,11,1,35,4,1,33,4,-1,-1,-1,-1,-1,-1,2,1,1,2,4,-1,1,1,2,2,2
60000017-01,55,1,-1,1,2,2,2,2,2,2,1,5,-1,1,6,1,-1,1,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,3,3,3,1,55,3,2,53,10,2,21,4,-1,-1,-1,-1,-1,-1,0,1,1,1,9,20,-1,1,2,2,2
60000019-01,67,5,-1,2,2,2,2,1,2,2,1,5,-1,1,7,1,-1,1,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,2,2,2,1,67,5,2,70,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,2,6,38,-1,1,2,2,2
60000020-01,70,3,-1,2,2,1,2,2,2,2,1,5,-1,1,6,1,-1,1,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,2,2,2,2,70,6,1,71,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,8,30,-1,2,2,1,2
60000022-01,40,1,-1,1,2,2,2,2,2,2,1,5,-1,1,7,1,-1,1,1,2,2,2,2,10,2,1,2,2,2,2,2,2,2,2,2,2,2,2,12,1,-1,2,2,2,2,40,3,1,56,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,2,8,45,-1,1,2,2,2
60000025-02,86,5,-1,2,2,2,2,1,2,2,1,5,-1,1,7,2,1959,1,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,2,2,2,1,86,3,2,83,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,8,30,-1,1,2,2,2
60000026-01,59,1,-1,1,2,2,2,2,2,2,1,5,-1,1,6,1,-1,1,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,3,3,3,2,59,3,1,56,2,-9,21,4,-1,-1,-1,-1,-1,-1,0,1,1,1,-9,15,-1,1,2,2,2
60000031-01,40,1,-1,1,2,2,2,2,2,2,1,5,-1,1,7,1,-1,1,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,2,2,2,2,40,6,1,40,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,9,15,0,1,2,2,2
60000033-02,73,5,-1,2,2,2,2,1,2,2,1,3,3,1,5,1,-1,1,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,1,2,2,1,73,11,2,73,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,2,6,35,-1,1,2,2,2
60000035-01,64,5,-1,2,2,2,2,1,2,2,1,5,-1,3,6,1,-1,1,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,1,1,1,1,64,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-9,1,1,2,6,25,-1,1,2,2,2
60000037-01,52,1,-1,1,2,2,2,2,2,2,1,5,-1,3,5,1,-1,1,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,2,1,1,1,52,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,9,20,-1,1,2,2,2
60000039-01,59,1,-1,1,2,2,2,2,2,2,1,5,-2,3,7,1,-1,1,1,2,2,2,2,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,-1,1,1,1,2,59,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,7,5,-1,1,2,2,2
