sectionID,answer_abbr,questionID,question_description
A,SeekHealthInfo,A1,Ever looked for information about health/medical topics?
A,WhereSeekHealthInfo,A2,Where did you go first? 
A,WhoLookingFor,A3,"Most recent time you looked for health/medical info, who was it for?"
A,LotOfEffort,A4a,It took a lot of effort to get the information you needed
A,Frustrated,A4b,You felt frustrated during your search for the information
A,ConcernedQuality,A4c,You were concerned about the quality of the information
A,TooHardUnderstand,A4d,The information you found was hard to understand
A,ConfidentGetHealthInf,A5,How confident are you that you could get advice/info about health/medical topics?
A,TrustDoctor,A6a,Trust health/medical info - a doctor?
A,TrustFamily,A6b,Trust health/medical info - family/friends?
A,TrustNewsMag,A6c,Trust health/medical info - newspapers/magazines?
A,TrustRadio,A6d,Trust health/medical info - radio?
A,TrustInternet,A6e,Trust health/medical info - internet?
A,TrustTelevision,A6f,Trust health/medical info - television?
A,TrustGov,A6g,Trust health/medical info - govt health agencies? 
A,TrustCharities,A6h,Trust health/medical info - charitable orgs?
A,TrustReligiousOrgs,A6i,Trust health/medical info - religious orgs/leaders?
A,StrongNeedHealthInfo,A7,Strong need to get info about health/medical topics. Where would you go first?
A,StrongNeedHealthInfo_OS,A7,Strong need to get info about health/medical topics. Where...first? Other - SPECIFY
A,SeekCancerInfo,A8,Have you ever looked for information about cancer from any source?
A,InternetCancerInfoSelf,A9,Past 12 months...used internet to look for info about cancer for yourself?
B,UseInternet,B1,"Do you ever go on-line to access the Internet or World Wide Web, or to send and receive e-mail?"
B,Internet_DialUp,B2a,"Internet, access through a regular dial-up telephone line?"
B,Internet_BroadBnd,B2b,"Internet, access through broadband such as DSL, cable or FiOS?"
B,Internet_Cell,B2c,"Internet, access through a cellular network (i.e., telephone, 3G/4G)?"
B,Internet_WiFi,B2d,"Internet, access through a wireless network (Wi-Fi)?"
B,WhereUseInternet_Home,B3a,How often do you access the internet - at home?
B,WhereUseInternet_Work,B3b,How often do you access the internet - at work?
B,WhereUseInternet_School,B3c,How often do you access the internet - at school?
B,WhereUseInternet_PublicPlace,B3d,How often do you access the internet - in a public place?
B,WhereUseInternet_MobileDevice,B3e,How often do you access the internet - a mobile device?
B,WhereUseInternet_GamingDevice,B3f,How often do you access the internet - a gaming device/Smart TV?
B,Electronic_SelfHealthInfo,B4a,Past 12 months...used electronic means to look for health/medical info for yourself?
B,Electronic_HealthInfoSE,B4b,Past 12 months...used electronic means to look for health/medical info for someone else?
B,Electronic_BuyMedicine,B4c,Past 12 months...used electronic means to buy medicine or vitamins online?
B,Electronic_HCPSearch,B4d,Past 12 months...used electronic means to look for a health care provider?
B,Electronic_TalkDoctor,B4e,Past 12 months...used electronic means to communicate with doctor using e-mail/internet?
B,Electronic_MadeAppts,B4f,Past 12 months...used electronic means to make appts with a health care provider?
B,Electronic_TrackedHealthCosts,B4g,Past 12 months...used electronic means to track health care charges and costs?
B,Electronic_CompletedForms,B4h,Past 12 months...used electronic means to fill out health care forms/paperwork?
B,Electronic_TestResults,B4i,Past 12 months...used electronic means to look up test results?
B,HaveDevice_Tablet,B5a,Please indicate if you have a - Tablet computer
B,HaveDevice_SmartPh,B5b,Please indicate if you have a - Smartphone
B,HaveDevice_CellPh,B5c,Please indicate if you have a - Basic cell phone
B,TabletHealthWellnessApps,B6,"On your tablet or smartphone, do you have any apps related to health and wellness?"
B,Tablet_AchieveGoal,B7a,Has your tablet helped you track progress on a health-related goal?Tablet_MakeDecision
B,Tablet_DiscussionsHCP,B7c,Has your tablet helped you in discussions with your health care provider? OtherDevTrackHealth
B,SharedHealthDeviceInfo,B9,Shared health info from an electronic monitoring device/smartphone with a health pro?
B,IntRsn_VisitedSocNet,B10a,Last 12 months...used internet to visit a social networking site?
B,IntRsn_SharedSocNet,B10b,Last 12 months...used internet to share health information on social networking site?
B,IntRsn_WroteBlog,B10c,Last 12 months...used internet to write in an online diary or blog?
B,IntRsn_SupportGroup,B10d,Last 12 months...used internet to participate in a forum/support group for medical issue?
B,IntRsn_YouTube,B10e,Last 12 months...used internet to watch a health-related video on YouTube?
B,TextFromDoctor,B11,Have you sent/received a text message from a doctor/health care pro in last 12 months?
C,RegularProvider,C1,Is there a doctor/nurse/health pro that you see most often?
C,MostRecentCheckup2,C2,About how long has it been since you last visited a doctor for a routine checkup?
C,FreqGoProvider,C3,"Past 12 months, how many times did you go to a doctor/nurse/health pro to get care...?"
C,ChanceAskQuestions,C4a,How often...give you the chance to ask all the health-related questions you had?
C,FeelingsAddressed,C4b,How often...give the attention you needed to your feelings and emotions?
C,InvolvedDecisions,C4c,How often...involve you in decisions about your health care as much as you wanted?
C,UnderstoodNextSteps,C4d,How often...make sure you understood what you needed to do to take care of your health?
C,ExplainedClearly,C4e,How often...explain things in a way you could understand?
C,SpentEnoughTime,C4f,How often...spend enough time with you?
